experiment_name,mutation_type,crossover_type,survivor_method,selection_method,seed,accuracy,fitness,num_features,runtime_seconds
EXP-C_survivor_generational,bitflip,uniform,generational,tournament,58,0.7326443443176254,0.7249513384572914,241,200.53250455856323
EXP-C_survivor_generational,bitflip,uniform,generational,tournament,59,0.7218062998913666,0.7173399556165156,226,189.81358170509338
EXP-C_survivor_generational,bitflip,uniform,generational,tournament,60,0.7468356959391098,0.739294983488056,230,219.21184968948364
EXP-C_survivor_generational,bitflip,uniform,generational,tournament,61,0.731610221459994,0.7221634850282803,254,231.92057824134827
EXP-C_survivor_generational,bitflip,uniform,generational,tournament,62,0.7233518900047045,0.716016701004234,245,195.58941316604614
EXP-C_survivor_generational,bitflip,uniform,generational,tournament,63,0.7223200314552363,0.7130880283097126,259,211.3111538887024
EXP-C_survivor_generational,bitflip,uniform,generational,tournament,64,0.7228344289920952,0.7192652718071714,219,197.6507203578949
EXP-C_survivor_generational,bitflip,uniform,generational,tournament,65,0.7285145126169914,0.7208059184981495,244,230.4018108844757
EXP-C_survivor_generational,bitflip,uniform,generational,tournament,66,0.7295487686692208,0.723879606088013,229,201.69743633270264
EXP-C_survivor_generational,bitflip,uniform,generational,tournament,67,0.7285154449791764,0.7220924719098302,235,212.98606872558594
EXP-C_survivor_generational,bitflip,uniform,generational,tournament,68,0.7125138455784454,0.7055481753063152,250,214.86474800109863
EXP-C_survivor_generational,bitflip,uniform,generational,tournament,69,0.725159607086592,0.7172150749493613,248,207.66477060317993
EXP-C_survivor_generational,bitflip,uniform,generational,tournament,70,0.7238693510173138,0.7164824159155824,245,206.48993015289307
EXP-C_survivor_generational,bitflip,uniform,generational,tournament,71,0.7246440107983525,0.7180367525756601,239,216.05131769180298
