experiment_name,mutation_type,crossover_type,survivor_method,selection_method,seed,accuracy,fitness,num_features,runtime_seconds
EXP-A_mutation_swap,swap,two_point,elitist,tournament,60,0.6913540189871563,0.690504331374155,222,103.40878701210022
EXP-A_mutation_swap,swap,two_point,elitist,tournament,61,0.6619350617729907,0.6654558413099774,212,121.7166485786438
EXP-A_mutation_swap,swap,two_point,elitist,tournament,62,0.6642565104187479,0.6672594308054445,214,171.66127252578735
EXP-A_mutation_swap,swap,two_point,elitist,tournament,63,0.6750944216504089,0.6807278366282252,188,185.5579628944397
EXP-A_mutation_swap,swap,two_point,elitist,tournament,64,0.697031305525498,0.6978996035443767,206,175.9135386943817
EXP-A_mutation_swap,swap,two_point,elitist,tournament,65,0.6663208934906735,0.6672602327130348,227,211.24601483345032
EXP-A_mutation_swap,swap,two_point,elitist,tournament,66,0.7181929968411569,0.7146594114427555,222,174.45316171646118
EXP-A_mutation_swap,swap,two_point,elitist,tournament,67,0.6934203999780495,0.6946497885516731,206,139.11691522598267
EXP-A_mutation_swap,swap,two_point,elitist,tournament,68,0.6611606683811475,0.6644731729716041,214,148.5058627128601
EXP-A_mutation_swap,swap,two_point,elitist,tournament,69,0.6614193322901533,0.6678488276325665,192,149.75298619270325
EXP-A_mutation_swap,swap,two_point,elitist,tournament,70,0.669160602316627,0.6733873992278214,202,177.35244464874268
EXP-A_mutation_swap,swap,two_point,elitist,tournament,71,0.6707091227111175,0.6743524961542915,205,175.1636357307434
EXP-B_crossover_single_point,bitflip,single_point,elitist,tournament,42,0.6918721459727548,0.6876849313754793,245,215.9077262878418
EXP-B_crossover_single_point,bitflip,single_point,elitist,tournament,43,0.6572885682273344,0.6621311399760295,206,184.1837282180786
EXP-B_crossover_single_point,bitflip,single_point,elitist,tournament,44,0.665029172280819,0.6639548264813085,242,166.32234716415405
EXP-B_crossover_single_point,bitflip,single_point,elitist,tournament,45,0.6990939570676517,0.6931845613608865,252,205.20521187782288
EXP-B_crossover_single_point,bitflip,single_point,elitist,tournament,46,0.7052865735050371,0.6996150590116762,246,188.35411548614502
EXP-B_crossover_single_point,bitflip,single_point,elitist,tournament,47,0.6936777319410768,0.6819957339758851,228,180.23088693618774
EXP-B_crossover_single_point,bitflip,single_point,elitist,tournament,48,0.6642593075053025,0.6645476624690579,233,190.37653040885925
EXP-B_crossover_single_point,bitflip,single_point,elitist,tournament,49,0.6627075904404639,0.6605796885392747,251,185.21887350082397
EXP-B_crossover_single_point,bitflip,single_point,elitist,tournament,50,0.6769060013756338,0.6776439726666419,221,109.09787225723267
EXP-B_crossover_single_point,bitflip,single_point,elitist,tournament,51,0.6962554469930786,0.6923441880080565,240,194.86961340904236
EXP-B_crossover_single_point,bitflip,single_point,elitist,tournament,52,0.6678703462473488,0.668226168765471,230,199.85740756988525
EXP-B_crossover_single_point,bitflip,single_point,elitist,tournament,53,0.7047716431897868,0.7018659074422366,227,193.07277131080627
EXP-B_crossover_single_point,bitflip,single_point,elitist,tournament,54,0.7034825858718892,0.7002771844275575,230,204.56620073318481
EXP-B_crossover_single_point,bitflip,single_point,elitist,tournament,55,0.7070952229491096,0.7022428435113416,239,207.65289449691772
EXP-B_crossover_single_point,bitflip,single_point,elitist,tournament,56,0.6714817845731885,0.671619320401584,229,127.1241250038147
EXP-B_crossover_single_point,bitflip,single_point,elitist,tournament,57,0.6665814221240489,0.6672089941973584,229,177.38461184501648
EXP-B_crossover_single_point,bitflip,single_point,elitist,tournament,58,0.689030972006225,0.6884135890913168,222,134.72540020942688
EXP-B_crossover_single_point,bitflip,single_point,elitist,tournament,59,0.7055452374140428,0.7005621422440671,241,178.84302282333374
EXP-B_crossover_single_point,bitflip,single_point,elitist,tournament,60,0.7143210298819416,0.7113174983223188,221,134.34679126739502
EXP-B_crossover_single_point,bitflip,single_point,elitist,tournament,61,0.6895497649648127,0.6858805027540457,243,200.4452669620514
